U

해외영토(, 다리, 터널)도 포함인 육지로 닿는 국경으로만 나라끼리 이어보는 게임입니다.

캐나다,미국
미국,멕시코
멕시코,과테말라
과테말라,엘살바도르
엘살바도르,온두라스
과테말라,온두라스
온두라스,니카라과
니카라과,코스타리카
코스타리카,파나마
파나마,콜롬비아
콜롬비아,에콰도르
콜롬비아,페루
콜롬비아,브라질
콜롬비아,베네수엘라
베네수엘라,가이아나
가이아나,수리남
수리남,프랑스
베네수엘라,브라질
가이아나,브라질
수리남,브라질
프랑스,브라질
에콰도르,페루
페루,브라질
페루,볼리비아
페루,칠레
브라질,볼리비아
브라질,파라과이
브라질,아르헨티나
브라질,우루과이
볼리비아,칠레
볼리비아,아르헨티나
볼리비아,파라과이
파라과이,아르헨티나
칠레,아르헨티나
아르헨티나,우루과이
네덜란드,프랑스
아일랜드,영국
영국,스페인
스페인,모로코
포르투갈,스페인
스페인,안도라
안도라,프랑스
프랑스,이탈리아
스페인,프랑스
프랑스,벨기에
프랑스,룩셈부르크
프랑스,독일
프랑스,스위스
프랑스,모나코
네덜란드,벨기에
네덜란드,독일
벨기에,독일
벨기에,룩셈부르크
룩셈부르크,독일
스위스,독일
스위스,오스트리아
스위스,리히텐슈타인
스위스,이탈리아
리히텐슈타인,오스트리아
독일,덴마크
독일,폴란드
독일,체코
독일,오스트리아
스웨덴,노르웨이
스웨덴,핀란드
노르웨이,핀란드
노르웨이,러시아
핀란드,러시아
이탈리아,오스트리아
이탈리아,슬로베니아
오스트리아,슬로베니아
오스트리아,헝가리
오스트리아,체코
오스트리아,슬로바키아
체코,폴란드
체코,슬로바키아
슬로바키아,폴란드
슬로바키아,우크라이나
슬로바키아,헝가리
폴란드,러시아
폴란드,리투아니아
폴란드,벨라루스
폴란드,우크라이나
헝가리,슬로베니아
헝가리,우크라이나
헝가리,루마니아
헝가리,세르비아
헝가리,크로아티아
슬로베니아,크로아티아
크로아티아,보스니아
크로아티아,세르비아
크로아티아,몬테네그로
보스니아,몬테네그로
보스니아,세르비아
세르비아,몬테네그로
세르비아,코소보
세르비아,북마케도니아
세르비아,불가리아
세르비아,루마니아
코소보,몬테네그로
코소보,알바니아
코소보,북마케도니아
북마케도니아,알바니아
북마케도니아,그리스
북마케도니아,불가리아
알바니아,그리스
불가리아,루마니아
불가리아,그리스
불가리아,튀르키예
그리스,튀르키예
루마니아,우크라이나
루마니아,몰도바
몰도바,우크라이나
우크라이나,벨라루스
우크라이나,러시아
벨라루스,러시아
벨라루스,리투아니아
벨라루스,라트비아
리투아니아,러시아
리투아니아,라트비아
라트비아,러시아
라트비아,에스토니아
에스토니아,러시아
러시아,조지아
러시아,아제르바이잔
러시아,카자흐스탄
러시아,중국
러시아,몽골
러시아,북한
튀르키예,시리아
튀르키예,이라크
튀르키예,아제르바이잔
튀르키예,아르메니아
튀르키예,조지아
조지아,아제르바이잔
조지아,아르메니아
아르메니아,아제르바이잔
아르메니아,이란
아제르바이잔,이란
시리아,레바논
시리아,이스라엘
시리아,요르단
시리아,이라크
이라크,사우디아라비아
이라크,쿠웨이트
이라크,이란
레바논,이스라엘
이스라엘,팔레스타인
이스라엘,요르단
이스라엘,이집트
요르단,팔레스타인
요르단,사우디아라비아
요르단,이라크
팔레스타인,이집트
쿠웨이트,사우디아라비아
사우디아라비아,카타르
사우디아라비아,아랍에미리트연합
사우디아라비아,오만
사우디아라비아,예멘
아랍에미리트연합,오만
오만,예멘
